Title,Duration (mins),Genre,Classification,Opening Date
Phantom The Musical,177,Musical,G,14/01/2022
Makmum 2,94,Horror,PG13,13/01/2022
Special Delivery,109,Action/Crime,PG13,13/01/2022
Nightmare Alley,150,Action/Crime/Drama,M18,13/01/2022
Scream,114,Horror/Mystery/Thriller,M18,13/01/2022
Enna Solla Pogirai,145,Comedy/Romance,G,13/01/2022
The Hating Game,102,Comedy/Romance,NC16,06/01/2022
The Policeman's Lineage,119,Crime/Drama/Mystery,NC16,06/01/2022
Sing 2,110,Animation/Comedy,G,23/12/2021
Mulholland Drive,147,Drame/Mystery/Thriller,R21,30/12/2021
,,,,
,,,,
,,,,
,,,,
,,,,
