Date Time,Screening Type,Cinema Name,Hall Number,Movie Title
13/01/2022 8:00PM,2D,Singa North,3,Sing 2
13/01/2022 8:00PM,3D,Singa North,2,Makmum 2
03/02/2022 3:00PM,3D,Singa Central,1,Phantom The Musical
03/02/2022 6:00PM,3D,Singa Central,2,Makmum 2
03/02/2022 8:30PM,3D,Singa Central,2,Nightmare Alley
03/02/2022 6:00PM,2D,Singa Central,3,Sing 2
03/02/2022 9:00PM,2D,Singa Central,4,The Hating Game
03/02/2022 10:00PM,3D,Singa North,1,Nightmare Alley
03/02/2022 8:00PM,3D,Singa North,2,The Hating Game
03/02/2022 8:00PM,2D,Singa North,3,Sing 2
03/02/2022 8:00PM,3D,Singa East,1,Scream
03/02/2022 8:00PM,2D,Singa East,2,The Hating Game
03/02/2022 10:00PM,3D,Singa West,1,Mulholland Drive
03/02/2022 7:00PM,3D,Singa West,2,Sing 2
03/02/2022 8:00PM,2D,Singa West,3,Makmum 2
04/02/2022 3:00PM,3D,Singa Central,1,Phantom The Musical
04/02/2022 6:00PM,3D,Singa Central,2,Makmum 2
04/02/2022 8:30PM,3D,Singa Central,2,Nightmare Alley
04/02/2022 6:00PM,2D,Singa Central,3,Sing 2
04/02/2022 9:00PM,2D,Singa Central,4,The Hating Game
04/02/2022 10:00PM,3D,Singa North,1,Nightmare Alley
04/02/2022 8:00PM,3D,Singa North,2,The Hating Game
04/02/2022 8:00PM,2D,Singa North,3,Sing 2
04/02/2022 8:00PM,3D,Singa East,1,Scream
04/02/2022 8:00PM,2D,Singa East,2,The Hating Game
04/02/2022 10:00PM,3D,Singa West,1,Mulholland Drive
04/02/2022 7:00PM,3D,Singa West,2,Sing 2
04/02/2022 8:00PM,2D,Singa West,3,Makmum 2
